timestamp,level,flow_run_id,task_run_id,message
2025-12-21 10:59:13.546595+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3b18-75c1-aa85-61b9d1019045,"list_objects(folder='team-8/dataset-40/sourcedata/') returned 43 objects: [{'Key': 'team-8/dataset-40/sourcedata/202308001_主要业务活动营业收入_608_/WLB-511900000000-T_PG_1690781998072.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 36, 493000, tzinfo=tzlocal()), 'ETag': '""a95bf6ff4df4a87ac85c331779a3092b""', 'Size': 368605, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_主要工业产品生产能力_B604-2_/WLB-511900000000-T_PG_1690970743700.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 36, 190000, tzinfo=tzlocal()), 'ETag': '""e9ab20b5e1dd7a4cd510521c189f027a""', 'Size': 63818, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_从业人员及工资总额_602_/WLB-511900000000-T_PG_1690780925760.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 35, 778000, tzinfo=tzlocal()), 'ETag': '""c676fd62ea3f6fd56bfce3ba2243f71a""', 'Size': 437266, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_企业法人主要经济指标_611-3_/611-3.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 35, 628000, tzinfo=tzlocal()), 'ETag': '""c86b1e0e39878293bc309bcad902c3c0""', 'Size': 5660694, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_企业研究开发活动及相关情况_607-2_/WLB-511900000000-T_PG_1690797695334.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 34, 897000, tzinfo=tzlocal()), 'ETag': '""04024f6207209e1196723c25e0446bb9""', 'Size': 138326, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_企业研究开发项目情况_607-1_/WLB-511900000000-T_PG_1690770981902.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 34, 647000, tzinfo=tzlocal()), 'ETag': '""95515ef6c03a10fa5d7f62e2bdf14d46""', 'Size': 161505, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_信息通信技术应用和数字化转型情况_609-1_/WLB-511900000000-T_PG_1690856839681.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 34, 201000, tzinfo=tzlocal()), 'ETag': '""857037ec7aa075b1c029c93587a3da63""', 'Size': 632639, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_信息通信技术应用和数字化转型情况_611-8_/WLB-511900000000-T_PG_1691397680158.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 34, 35000, tzinfo=tzlocal()), 'ETag': '""6b7433bceaa99c7b1739eb4b14456e4d""', 'Size': 3991472, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_创新调查企业家问卷_L122_/WLB-511900000000-T_PG_1696642088975.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 33, 214000, tzinfo=tzlocal()), 'ETag': '""98fdce309298e16f826bad9e058e7ffb""', 'Size': 23510, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_单位从业人员情况_611-2_/WLB-511900000000-T_PG_1691395013157.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 33, 116000, tzinfo=tzlocal()), 'ETag': '""1fe0a0c5ccd58b0f0bf6235cbfa7f153""', 'Size': 4349427, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_单位固定资产投资项目情况_611-5_/WLB-511900000000-T_PG_1691392452573.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 32, 229000, tzinfo=tzlocal()), 'ETag': '""215866a564e450f03de489f3d48bf5ef""', 'Size': 257434, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_单位基本情况_611_/WLB-511900000000-T_PG_1691392525433.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 32, 101000, tzinfo=tzlocal()), 'ETag': '""1bdb1839a3735b1a8793ab6acb2cf36a""', 'Size': 27118625, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_固定资产投资构成_606-1 _/WLB-511900000000-T_PG_1705476465752.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 27, 804000, tzinfo=tzlocal()), 'ETag': '""ac73cf9be14f4ab3d8c95a11435f8813""', 'Size': 48665, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_固定资产投资构成_606-1_/WLB-511900000000-T_PG_1705582107059.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 27, 594000, tzinfo=tzlocal()), 'ETag': '""db5d57fbcb3329f650b590398e333805""', 'Size': 42685, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_固定资产投资项目情况_606_/WLB-511900000000-T_PG_1690782025380.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 27, 405000, tzinfo=tzlocal()), 'ETag': '""450bcd2060404fad3929d64a6e7593d1""', 'Size': 108497, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_工业企业创新情况_L121_/WLB-511900000000-T_PG_1695864599701.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 27, 185000, tzinfo=tzlocal()), 'ETag': '""08e95a357ea4d3a03ddf38013f2ffec1""', 'Size': 120595, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_工业企业战略性新兴产业总产值_B604-3_/WLB-511900000000-T_PG_1690770982335.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 27, 5000, tzinfo=tzlocal()), 'ETag': '""1b9416febe716c13ee3605f80b73f0a3""', 'Size': 38052, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_工业总产值、主要产品产量及产值_B604-1GT_/WLB-511900000000-T_PG_1700477978815.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 26, 750000, tzinfo=tzlocal()), 'ETag': '""ef8735e1d6f58b130bf16ef4d3263b22""', 'Size': 1812, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_工业总产值、主要产品产量及产值_B604-1_/WLB-511900000000-T_PG_1690970702887.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 26, 566000, tzinfo=tzlocal()), 'ETag': '""3a268cbf28ea8d9cdaca507fc56232b1""', 'Size': 150027, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_工业财务状况（成本费用）_B603_/B603.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 26, 364000, tzinfo=tzlocal()), 'ETag': '""405da5001709603ca552192b0be2e67c""', 'Size': 154852, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_数字经济活动情况_609-2_/WLB-511900000000-T_PG_1690785257591.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 26, 127000, tzinfo=tzlocal()), 'ETag': '""504902ab4c2e2e12b9a2c1dcfc9a2041""', 'Size': 267620, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_数字经济活动情况_611-9_/WLB-511900000000-T_PG_1691392784225.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 25, 952000, tzinfo=tzlocal()), 'ETag': '""e51b2bb063e97aeae07497b7e69d0903""', 'Size': 31483, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_服务业企业创新情况_L125_/WLB-511900000000-T_PG_1695867123103.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 25, 687000, tzinfo=tzlocal()), 'ETag': '""c7bdaf6b92cbea755edb8de540d6983f""', 'Size': 144920, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_法人单位所属产业活动单位情况_611-1_/WLB-511900000000-T_PG_1691393870904.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 25, 535000, tzinfo=tzlocal()), 'ETag': '""ab16492a4699dc65def879e539445387""', 'Size': 463148, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_能源加工转换与回收利用_605-2_/WLB-511900000000-T_PG_1690785804615.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 25, 271000, tzinfo=tzlocal()), 'ETag': '""3e67a78f3d4374f2328d461add853b3c""', 'Size': 37646, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_能源生产、销售与库存_605-3_/WLB-511900000000-T_PG_1690785430683.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 25, 79000, tzinfo=tzlocal()), 'ETag': '""3f6dac64ba184146d27230b3f09cd696""', 'Size': 22045, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_能源购进、消费与库存_605-1_/WLB-511900000000-T_PG_1690784333567.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 24, 849000, tzinfo=tzlocal()), 'ETag': '""ca446a5e2a624908f982afaae5671216""', 'Size': 297677, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_规模以上工业个体经营户基本情况_B601_/WLB-511900000000-T_PG_1690868203081.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 24, 687000, tzinfo=tzlocal()), 'ETag': '""e356f005aab83b7ff4a76e76ef77b252""', 'Size': 3458, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_规模以上工业个体经营户财务状况_B603GT_/WLB-511900000000-T_PG_1690968435777.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 24, 411000, tzinfo=tzlocal()), 'ETag': '""27925b042e2142d0c6b3651b016080a3""', 'Size': 4513, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_规模以上服务业财务状况_F603_/F603.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 24, 14000, tzinfo=tzlocal()), 'ETag': '""3df9f070027b0f624f859dbb2f62673b""', 'Size': 181604, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_调查单位基本情况_601_/WLB-511900000000-T_PG_1690768502206.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 23, 873000, tzinfo=tzlocal()), 'ETag': '""4a54f0c5a38b2ea0240e63e981b22b3f""', 'Size': 2663680, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_金融业财务状况_611-4_/611-4.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 23, 319000, tzinfo=tzlocal()), 'ETag': '""9345d901062d610bfc061fb899ddbddc""', 'Size': 5686, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_限额以上住宿和餐饮业经营情况_S604_/WLB-511900000000-T_PG_1690784364873.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 23, 125000, tzinfo=tzlocal()), 'ETag': '""2fe6e55a5151c3c1f45c8fe195681c7d""', 'Size': 33652, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_限额以上住宿和餐饮业财务状况_S603_/S603.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 22, 895000, tzinfo=tzlocal()), 'ETag': '""e27858aa485b06411b991ef082cb07de""', 'Size': 53666, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_限额以上批发和零售业经营情况_E604_/WLB-511900000000-T_PG_1690786068599.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 22, 721000, tzinfo=tzlocal()), 'ETag': '""a1962785f11f3228ccb1bf5d84771cb4""', 'Size': 78817, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_限额以上批发和零售业财务状况_E603_/E603.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 22, 484000, tzinfo=tzlocal()), 'ETag': '""479b8bcac948dcc334d930af295ac19e""', 'Size': 127730, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/202308001_非工业企业主要能源品种消费情况_605-4_/WLB-511900000000-T_PG_1690785510454.csv', 'LastModified': datetime.datetime(2025, 12, 21, 8, 23, 22, 36000, tzinfo=tzlocal()), 'ETag': '""93f971469c5a10c9e43aea0afe4192b2""', 'Size': 250790, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/missing_codes_report_20251221_082425.json', 'LastModified': datetime.datetime(2025, 12, 21, 8, 24, 30, 830000, tzinfo=tzlocal()), 'ETag': '""f69fdc92624b6c30e915b59c52ec7de9""', 'Size': 12838, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/missing_codes_report_20251221_101436.json', 'LastModified': datetime.datetime(2025, 12, 21, 10, 14, 42, 643000, tzinfo=tzlocal()), 'ETag': '""df696f029d6e08fb92ce126a9e9aff35""', 'Size': 12838, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/missing_codes_report_20251221_103331.json', 'LastModified': datetime.datetime(2025, 12, 21, 10, 33, 37, 683000, tzinfo=tzlocal()), 'ETag': '""63cb4c6d1b0d4b4aff0d98997fc682eb""', 'Size': 12838, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/missing_codes_report_20251221_103442.json', 'LastModified': datetime.datetime(2025, 12, 21, 10, 34, 49, 193000, tzinfo=tzlocal()), 'ETag': '""9f439f40237c606262dd2eaaded16e8d""', 'Size': 12838, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/missing_codes_report_20251221_104427.json', 'LastModified': datetime.datetime(2025, 12, 21, 10, 44, 27, 903000, tzinfo=tzlocal()), 'ETag': '""cb74fa3513c8f7fe88d98184eb3c2637""', 'Size': 12838, 'StorageClass': 'STANDARD'}, {'Key': 'team-8/dataset-40/sourcedata/missing_codes_report_20251221_105106.json', 'LastModified': datetime.datetime(2025, 12, 21, 10, 51, 6, 463000, tzinfo=tzlocal()), 'ETag': '""aa0f18b75e5e24b1182983b0e01e19a1""', 'Size': 12838, 'StorageClass': 'STANDARD'}]"
2025-12-21 10:59:13.552845+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3b18-75c1-aa85-61b9d1019045,"Finally collected 37 csv/xls(x) files from list_objects, total uploaded_files: 37"
2025-12-21 10:59:13.555966+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3b18-75c1-aa85-61b9d1019045,Finished in state Completed()
2025-12-21 10:59:13.566590+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,"Converting files to parquet, extracted_prefix: team-8/dataset-40/raw_extracted/"
2025-12-21 10:59:13.719408+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,Using temp directory: /tmp/dataset_etl_parquet_qjile5uh
2025-12-21 10:59:13.719919+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,"Processing team-8/dataset-40/sourcedata/202308001_主要业务活动营业收入_608_/WLB-511900000000-T_PG_1690781998072.csv, suffix=.csv, parent=202308001_主要业务活动营业收入_608_"
2025-12-21 10:59:13.720170+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,Downloading s3://datasets/team-8/dataset-40/sourcedata/202308001_主要业务活动营业收入_608_/WLB-511900000000-T_PG_1690781998072.csv -> /tmp/dataset_etl_parquet_qjile5uh/WLB-511900000000-T_PG_1690781998072.csv
2025-12-21 10:59:13.759476+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,"Preprocessed CSV with encoding utf-8, path: /tmp/clean_csv_q0k9zlj1.csv"
2025-12-21 10:59:13.760734+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,Reading CSV file (0.35MB) in chunks to ensure data integrity
2025-12-21 10:59:13.773535+00:00,20,589a7abb-1faf-47fe-9123-354fd85c5525,019b4090-3e17-775c-9c97-1a6f47107b88,"Finished reading 1 chunks, total rows: 1903, concatenating..."
